Equipo,Municipio,Sección,Sexo,Edad,Ocupación,"31. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos votaría?","32. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos NUNCA votaría?","33. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos votaría?","34. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos NUNCA votaría?",_Capturar ubicación GPS_latitude,_Capturar ubicación GPS_longitude,_id,_submitted_by
EQUIPO 4,ZAPOPAN,3640,Hombre,67,Trabajador/a,PAN,Aún no decide,PAN,Aún no decide,20.6236199,-103.4560949,115379,user186
EQUIPO 4,ZAPOPAN,3640,Hombre,53,Trabajador/a,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6238107,-103.4564266,115380,user161
EQUIPO 4,ZAPOPAN,3640,Mujer,39,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,PAN,MORENA,20.6240923,-103.4560116,115381,user161
EQUIPO 4,ZAPOPAN,3640,Mujer,25,Cuidado del hogar,PRI,No contestó,PRI,Ninguno,20.6236212,-103.4558714,115382,user161
EQUIPO 4,ZAPOPAN,3640,Mujer,45,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.6234554,-103.4556247,115383,user161
EQUIPO 4,ZAPOPAN,3640,Mujer,58,Cuidado del hogar,Ninguno,PRI,No contestó,Ninguno,20.6229415,-103.4565465,115384,user98
EQUIPO 4,ZAPOPAN,3640,Mujer,30,Trabajador/a,MORENA,PAN,MORENA,PRI,20.6224396,-103.4562262,115385,user98
EQUIPO 4,ZAPOPAN,3640,Mujer,41,Trabajador/a,PAN,PRI,PAN,PRI,20.6225668,-103.4560881,115386,user98
EQUIPO 4,ZAPOPAN,3640,Hombre,34,Trabajador/a,PAN,PRI,PAN,PRI,20.6235441,-103.4564039,115387,user98
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,59,Cuidado del hogar,MORENA,PRI,,,20.4813642,-103.5051275,115388,user149
EQUIPO 4,ZAPOPAN,3640,Hombre,78,Jubilado/a – pensionado/a,PAN,MORENA,PAN,PAN,20.6232665,-103.4560957,115389,user136
EQUIPO 4,ZAPOPAN,3640,Mujer,50,Trabajador/a,Aún no decide,PAN,Ninguno,Ninguno,20.6226875,-103.4566825,115390,user136
EQUIPO 4,ZAPOPAN,3640,Mujer,62,Cuidado del hogar,PAN,MORENA,PAN,MORENA,20.6229204,-103.4579054,115391,user136
EQUIPO 4,ZAPOPAN,3640,Mujer,70,Cuidado del hogar,MORENA,PRI,PAN,PARTIDO VERDE,20.6241086,-103.458385,115392,user136
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,64,Cuidado del hogar,Aún no decide,Aún no decide,,,20.4805745,-103.5051602,115393,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,46,Trabajador/a,Ninguno,Ninguno,,,20.4811254,-103.5052086,115394,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,64,Trabajador/a,Aún no decide,Aún no decide,,,20.4800728,-103.5053341,115395,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,65,Cuidado del hogar,MORENA,PRI,,,20.480137,-103.5055808,115396,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,66,Trabajador/a,MORENA,PRI,,,20.4808658,-103.5046333,115397,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,73,Cuidado del hogar,No contestó,No contestó,,,20.4812467,-103.5051277,115398,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Hombre,65,Trabajador/a,MORENA,PRI,,,20.4811138,-103.5052348,115399,user91
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,61,Trabajador/a,MOVIMIENTO CIUDADANO,MOVIMIENTO CIUDADANO,,,20.5271596,-103.4029902,115400,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,44,Trabajador/a,Ninguno,Aún no decide,,,20.5275939,-103.4024526,115401,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,40,Trabajador/a,MORENA,PAN,,,20.5276427,-103.4022769,115402,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,35,Trabajador/a,MORENA,PARTIDO DEL TRABAJO,,,20.5272999,-103.4037229,115403,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,70,Jubilado/a – pensionado/a,MORENA,PRI,,,20.5272876,-103.4037047,115404,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,50,Cuidado del hogar,Aún no decide,Ninguno,,,20.5270577,-103.4037987,115405,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,64,Jubilado/a – pensionado/a,Aún no decide,MOVIMIENTO CIUDADANO,,,20.5272028,-103.4036638,115406,user141
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Hombre,33,Trabajador/a,No contestó,PRI,,,20.4804703,-103.5051993,115407,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,48,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.4799999,-103.5045648,115408,user140
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,66,Jubilado/a – pensionado/a,MORENA,PRI,,,20.5274605,-103.4033398,115409,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Mujer,46,Trabajador/a,No contestó,No contestó,,,20.5272926,-103.4032541,115410,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,41,Trabajador/a,PAN,MORENA,,,20.5268601,-103.4033594,115411,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,36,Trabajador/a,MORENA,PRI,,,20.5291447,-103.4025851,115412,user141
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,21,Estudiante,Aún no decide,Aún no decide,,,20.4808987,-103.505587,115413,user91
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,35,Trabajador/a,Ninguno,PAN,,,20.4742445,-103.4490291,115414,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Hombre,33,Trabajador/a,PARTIDO VERDE,PAN,,,20.4751667,-103.4491724,115415,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Hombre,18,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.4751738,-103.4491954,115416,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,45,Trabajador/a,PAN,MOVIMIENTO CIUDADANO,,,20.475125,-103.449181,115417,user75
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,19,Trabajador/a,MORENA,PAN,,,20.52886,-103.4029338,115418,user141
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3470,Hombre,68,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.5275422,-103.4030181,115419,user79
EQUIPO 4,ZAPOPAN,3639,Hombre,30,Trabajador/a,MORENA,PRI,MORENA,PRI,20.6220872,-103.4637918,115420,user161
EQUIPO 4,ZAPOPAN,3639,Mujer,50,Trabajador/a,Aún no decide,Aún no decide,Aún no decide,Aún no decide,20.6220551,-103.4636501,115421,user161
EQUIPO 4,ZAPOPAN,3639,Mujer,46,Trabajador/a,MORENA,PRI,MORENA,PRI,20.6220935,-103.4633796,115422,user161
EQUIPO 4,ZAPOPAN,3639,Hombre,19,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,MOVIMIENTO CIUDADANO,PAN,20.6218349,-103.4633936,115423,user161
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,2457,Mujer,42,Trabajador/a,Ninguno,Ninguno,,,20.4810757,-103.5051527,115424,user144
EQUIPO 4,ZAPOPAN,3639,Mujer,52,Desempleado,Ninguno,Ninguno,Ninguno,Ninguno,20.6220875,-103.4639371,115425,user98
EQUIPO 4,ZAPOPAN,3639,Mujer,45,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.6219504,-103.4641049,115426,user98
EQUIPO 4,ZAPOPAN,3639,Hombre,22,Trabajador/a,PAN,MORENA,PAN,MORENA,20.6219462,-103.4641093,115427,user98
EQUIPO 4,ZAPOPAN,3639,Hombre,28,Trabajador/a,PRI,MORENA,PRI,MORENA,20.6218909,-103.4641243,115428,user98
EQUIPO 4,ZAPOPAN,3639,Mujer,56,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,MOVIMIENTO CIUDADANO,PRI,20.6215167,-103.4638527,115429,user136
EQUIPO 4,ZAPOPAN,3639,Mujer,45,Cuidado del hogar,PARTIDO DEL TRABAJO,MORENA,PARTIDO DEL TRABAJO,MORENA,20.6213515,-103.463023,115430,user136
EQUIPO 4,ZAPOPAN,3639,Mujer,57,Cuidado del hogar,PRI,MORENA,MOVIMIENTO CIUDADANO,PAN,20.6214426,-103.462992,115431,user136
EQUIPO 4,ZAPOPAN,3639,Mujer,75,Cuidado del hogar,PARTIDO VERDE,MORENA,PARTIDO DEL TRABAJO,MORENA,20.6214603,-103.4630047,115432,user136
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,18,Trabajador/a,PARTIDO DEL TRABAJO,MORENA,,,20.475211,-103.4495435,115433,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,30,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.4752051,-103.4497616,115434,user75
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Hombre,76,Jubilado/a – pensionado/a,MORENA,Ninguno,,,20.4740308,-103.4490635,115435,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,74,Trabajador/a,Aún no decide,Ninguno,,,20.4753791,-103.4493079,115436,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,35,Cuidado del hogar,Aún no decide,PARTIDO VERDE,,,20.4748401,-103.4500668,115437,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,58,Cuidado del hogar,MORENA,PRI,,,20.4745627,-103.4501552,115438,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,54,Cuidado del hogar,MOVIMIENTO CIUDADANO,PAN,,,20.4741237,-103.4501533,115439,user137
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2441,Mujer,68,Cuidado del hogar,MORENA,MOVIMIENTO CIUDADANO,,,20.4743342,-103.4501634,115440,user137
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,46,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.5169068,-103.3941179,115441,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Mujer,40,Cuidado del hogar,Aún no decide,Aún no decide,,,20.5169672,-103.3945421,115442,user79
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3469,Hombre,42,Trabajador/a,Ninguno,Ninguno,,,20.5168672,-103.3944933,115443,user79
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,24,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.4731221,-103.4492514,115444,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Hombre,24,Trabajador/a,MOVIMIENTO CIUDADANO,PAN,,,20.4731679,-103.4493236,115445,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,68,Trabajador/a,MOVIMIENTO CIUDADANO,No contestó,,,20.4723726,-103.4491918,115446,user66
EQUIPO 1,TLAJOMULCO DE ZUÑIGA,2442,Mujer,65,Cuidado del hogar,MORENA,PAN,,,20.4715904,-103.4494545,115447,user66
